[START OF SIMULATION]
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X0000026B]=0X51
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X0000026C,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X0000026C]=0X55
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X0000026D,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X0000026D]=0X45
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X0000026E,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X0000026E]=0X53
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X0000026F,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X0000026F]=0X54
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000270,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000270]=0X20
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000271,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000271]=0X23
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000272,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000272]=0X30
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000273,SR=0X00000002
0X00000088:	l8 r2,[r1-0]	R2=MEM[0X00000273]=0X30
0X0000008C:	cmpi r2,10	SR=0X00000002
0X00000090:	bne -4	PC=0X00000084
0X00000084:	addi r1,r1,1	R1=R1+0X00000001=0X00000274,SR=0X00000002
